PaperID,PaperDiscipline,StudentLevel,StudentGender,SpeakerStatus,PaperType,CharacterTypes,CitationAuthority,CitationControversy,CitationHedged,CitationNeutral,ConfidenceHedged,ConfidenceHigh,ConfidenceLow,ExpertVocabulary,InformationComparison,InformationQuantities,MethodsResultsDiscussion,PurposePlan,ReaderDirectedMetadiscourse,ReaderDirectedMetadiscourseFP,Reasoning
BIO.G0.01.1,Biology,Final Year Undergraduate,F,NS,Report,1.200,0.097,0.065,0.000,0.097,0.762,0.389,0.016,5.481,0.908,0.373,0.016,0.324,1.946,0.000,1.330
BIO.G0.02.1,Biology,Final Year Undergraduate,M,NS,Report,2.408,0.382,0.059,0.059,0.088,1.028,0.675,0.029,7.076,0.763,0.646,0.352,0.382,2.349,0.029,1.615
BIO.G0.02.2,Biology,Final Year Undergraduate,M,NS,Report,2.137,0.450,0.000,0.000,0.112,1.462,0.450,0.000,10.124,1.575,0.562,0.112,0.000,1.800,0.000,1.575
BIO.G0.02.3,Biology,Final Year Undergraduate,M,NS,Report,0.761,0.457,0.761,0.000,0.000,1.674,0.152,0.000,10.654,1.826,0.000,0.304,0.304,1.674,0.000,3.196
BIO.G0.02.4,Biology,Final Year Undergraduate,M,NS,Report,0.546,0.137,0.000,0.000,0.000,1.913,0.410,0.137,12.432,2.049,0.273,0.137,0.683,3.279,0.000,5.055
BIO.G0.02.5,Biology,Final Year Undergraduate,M,NS,Report,0.524,0.183,0.105,0.026,0.079,0.891,0.262,0.026,7.156,1.389,1.075,0.262,0.577,1.940,0.026,2.857
BIO.G0.02.6,Biology,Final Year Undergraduate,M,NS,ResearchPaper,2.528,0.041,0.000,0.041,0.000,0.290,0.414,0.000,8.993,0.414,0.829,0.870,0.373,1.492,0.041,1.368
BIO.G0.03.1,Biology,Final Year Undergraduate,F,NS,ResearchPaper,0.081,0.000,0.000,0.081,0.000,0.896,0.570,0.000,8.150,2.200,0.326,0.407,0.978,1.222,0.000,1.956
BIO.G0.03.2,Biology,Final Year Undergraduate,F,NS,ResearchPaper,0.474,0.079,0.039,0.000,0.118,0.711,0.316,0.000,7.106,1.816,1.777,0.553,0.513,1.421,0.000,2.645
BIO.G0.03.3,Biology,Final Year Undergraduate,F,NS,ResearchPaper,0.180,0.000,0.090,0.000,0.180,0.719,0.629,0.000,9.083,1.169,1.259,0.989,1.619,1.619,0.000,2.338
BIO.G0.04.1,Biology,Final Year Undergraduate,F,NS,Report,1.472,0.134,0.000,0.000,0.067,1.271,0.468,0.000,12.642,1.003,1.204,0.067,0.535,2.007,0.000,2.274
BIO.G0.04.2,Biology,Final Year Undergraduate,F,NS,ResearchPaper,1.537,0.000,0.036,0.000,0.000,0.250,0.143,0.000,12.330,1.287,0.893,0.786,0.393,1.001,0.143,1.858
BIO.G0.04.3,Biology,Final Year Undergraduate,F,NS,ResearchPaper,0.739,0.000,0.000,0.000,0.000,0.813,0.148,0.000,11.308,1.256,4.656,0.370,0.517,1.552,0.074,2.143
BIO.G0.05.1,Biology,Final Year Undergraduate,F,NS,Report,0.836,0.257,0.000,0.000,0.000,0.707,0.386,0.000,10.932,1.158,1.222,0.193,0.514,1.994,0.000,1.222
BIO.G0.06.1,Biology,Final Year Undergraduate,F,NS,Report,6.174,0.076,0.000,0.051,0.076,2.007,0.407,0.000,5.640,2.490,0.407,0.178,0.610,1.728,0.000,1.753
BIO.G0.07.1,Biology,Final Year Undergraduate,F,NS,Report,0.000,0.696,0.000,0.000,0.174,1.130,0.174,0.000,10.696,0.957,1.217,0.783,0.261,2.000,0.000,2.087
BIO.G0.07.2,Biology,Final Year Undergraduate,F,NS,ResearchPaper,0.885,0.190,0.063,0.000,0.063,0.506,0.506,0.000,10.619,1.833,1.770,1.011,0.569,1.454,0.000,1.264
BIO.G0.07.3,Biology,Final Year Undergraduate,F,NS,ResearchPaper,1.855,0.232,0.000,0.039,0.039,0.271,0.232,0.000,11.751,0.541,1.546,1.276,0.657,1.160,0.000,1.778
BIO.G0.08.1,Biology,Final Year Undergraduate,F,NS,ResearchPaper,2.622,0.216,0.036,0.108,0.036,0.359,0.323,0.000,12.823,1.293,1.832,0.898,0.611,1.509,0.000,2.047
BIO.G0.09.1,Biology,Final Year Undergraduate,M,NS,Report,1.421,0.323,0.000,0.000,0.065,0.840,0.581,0.000,4.005,1.680,0.646,0.388,0.840,1.357,0.065,1.680
BIO.G0.10.1,Biology,Final Year Undergraduate,F,NS,ResearchPaper,1.541,0.070,0.000,0.000,0.140,0.560,0.280,0.000,8.403,1.471,3.361,0.490,0.210,1.261,0.140,0.840
BIO.G0.10.2,Biology,Final Year Undergraduate,F,NS,ResearchPaper,2.119,0.240,0.000,0.000,0.160,0.800,0.520,0.000,12.475,0.680,0.840,0.440,0.600,1.160,0.360,2.239
BIO.G0.11.1,Biology,Final Year Undergraduate,M,NS,Proposal,0.241,0.000,0.030,0.000,0.000,1.117,0.302,0.000,8.542,0.936,1.570,0.060,0.815,1.811,0.392,1.449
BIO.G0.11.2,Biology,Final Year Undergraduate,M,NS,ResearchPaper,0.941,0.812,0.086,0.000,0.214,0.299,0.385,0.000,11.372,0.855,1.838,0.214,0.299,1.069,0.000,2.437
BIO.G0.11.3,Biology,Final Year Undergraduate,M,NS,Report,0.213,0.043,0.085,0.000,0.043,1.451,0.469,0.043,10.452,0.427,0.725,0.043,0.555,2.005,0.043,1.621
BIO.G0.12.1,Biology,Final Year Undergraduate,F,NS,ResearchPaper,0.249,0.166,0.000,0.000,0.000,1.244,0.083,0.000,11.111,1.244,2.488,0.580,1.410,0.912,0.000,2.736
BIO.G0.12.2,Biology,Final Year Undergraduate,F,NS,Report,0.892,0.074,0.000,0.000,0.074,0.817,0.297,0.000,10.698,1.114,0.223,0.000,0.297,2.080,0.000,1.783
BIO.G0.13.1,Biology,Final Year Undergraduate,F,NS,Report,1.487,0.040,0.000,0.000,0.040,0.723,0.201,0.000,8.280,0.884,1.889,0.080,0.563,1.407,0.000,1.487
BIO.G0.14.1,Biology,Final Year Undergraduate,F,NS,ResearchPaper,2.850,0.065,0.000,0.000,0.130,0.389,0.259,0.000,11.658,0.810,1.975,0.291,0.227,1.457,0.000,2.202
BIO.G0.15.1,Biology,Final Year Undergraduate,M,NNS,Essay,0.897,0.069,0.069,0.000,0.000,0.897,0.207,0.000,4.555,1.518,0.414,0.069,0.621,1.518,0.069,1.587
BIO.G0.16.1,Biology,Final Year Undergraduate,M,NS,Report,0.748,0.349,0.000,0.050,0.050,0.648,0.299,0.000,11.366,1.047,1.396,0.199,0.648,1.446,0.000,2.094
BIO.G0.17.1,Biology,Final Year Undergraduate,M,NS,ResearchPaper,0.249,0.356,0.036,0.036,0.000,0.499,0.392,0.000,10.826,1.282,0.463,0.962,1.104,1.496,0.000,1.353
BIO.G0.18.1,Biology,Final Year Undergraduate,M,NS,Report,0.458,0.262,0.131,0.000,0.196,0.916,0.393,0.065,7.003,1.440,0.654,0.262,0.458,1.636,0.000,2.421
BIO.G0.19.1,Biology,Final Year Undergraduate,F,NS,Report,1.632,0.000,0.000,0.000,0.000,0.793,0.326,0.047,9.510,1.585,1.585,0.047,0.280,1.072,0.047,1.445
BIO.G0.20.1,Biology,Final Year Undergraduate,M,NS,Report,1.925,0.275,0.000,0.055,0.055,1.375,0.220,0.000,7.976,1.265,0.935,0.000,0.660,1.485,0.055,1.650
BIO.G0.21.1,Biology,Final Year Undergraduate,F,NS,ResearchPaper,0.567,0.113,0.000,0.057,0.113,0.567,0.170,0.000,7.252,1.813,1.360,0.907,0.623,1.473,0.000,1.473
BIO.G0.22.1,Biology,Final Year Undergraduate,M,NS,ResearchPaper,0.284,0.203,0.041,0.000,0.041,0.487,0.284,0.000,7.511,3.004,0.812,1.096,1.218,1.421,0.041,1.583
BIO.G0.23.1,Biology,Final Year Undergraduate,M,NS,ResearchPaper,1.515,0.275,0.092,0.000,0.092,0.781,0.735,0.000,10.009,0.781,1.561,0.321,0.413,2.112,0.000,2.250
BIO.G0.24.1,Biology,Final Year Undergraduate,F,NS,Report,0.731,0.329,0.000,0.000,0.037,0.731,0.329,0.073,7.310,1.425,1.096,0.548,1.096,1.681,0.000,1.791
BIO.G0.25.1,Biology,Final Year Undergraduate,F,NS,Report,1.335,0.107,0.000,0.000,0.107,0.694,0.641,0.000,7.688,0.961,1.281,0.053,0.961,1.975,0.107,1.228
BIO.G0.26.1,Biology,Final Year Undergraduate,F,NS,Report,3.523,0.053,0.000,0.000,0.105,1.314,0.631,0.053,3.470,0.736,0.578,0.000,0.421,1.998,0.000,1.157
BIO.G0.27.1,Biology,Final Year Undergraduate,F,NS,ResearchPaper,1.012,0.039,0.000,0.000,0.078,0.739,0.272,0.000,8.560,1.479,0.817,0.467,0.195,1.051,0.000,1.284
BIO.G0.28.1,Biology,Final Year Undergraduate,F,NS,ResearchPaper,0.539,0.162,0.000,0.054,0.000,0.485,0.162,0.000,6.304,1.994,2.694,0.593,0.485,1.994,0.000,1.455
BIO.G0.29.1,Biology,Final Year Undergraduate,F,NS,Report,3.565,0.184,0.061,0.000,0.307,0.983,0.000,0.061,4.057,1.229,0.307,0.184,0.430,1.782,0.000,1.782
BIO.G0.30.1,Biology,Final Year Undergraduate,M,NS,Report,0.421,0.074,0.124,0.025,0.396,1.090,0.396,0.025,6.464,1.189,2.823,0.124,0.421,1.709,0.000,1.932
BIO.G0.31.1,Biology,Final Year Undergraduate,M,NS,ResponsePaper,3.350,0.000,0.000,0.000,0.168,0.335,0.000,0.000,10.720,1.173,0.838,0.000,0.000,1.675,0.000,1.843
BIO.G0.32.1,Biology,Final Year Undergraduate,M,NS,Report,0.659,0.293,0.000,0.000,0.073,0.366,0.439,0.000,5.783,0.805,1.318,0.073,0.512,1.464,0.000,1.903
BIO.G1.01.1,Biology,First Year Graduate,M,NNS,Proposal,0.446,0.206,0.069,0.000,0.000,1.373,0.103,0.000,9.849,0.789,0.343,0.480,0.789,1.922,0.000,1.956
BIO.G1.02.1,Biology,First Year Graduate,M,NNS,ResearchPaper,0.000,0.105,0.053,0.053,0.158,1.000,0.158,0.000,15.316,1.737,0.474,1.105,0.789,1.053,0.053,2.684
BIO.G1.03.1,Biology,First Year Graduate,F,NS,Report,2.411,0.188,0.038,0.000,0.113,1.356,0.151,0.000,8.550,1.205,0.113,0.000,0.753,2.373,0.075,1.695
BIO.G1.04.1,Biology,First Year Graduate,M,NS,Essay,0.347,0.174,0.390,0.022,0.347,1.063,0.542,0.000,6.811,0.651,0.390,0.022,0.369,1.193,0.022,1.345
BIO.G1.05.1,Biology,First Year Graduate,M,NS,ResearchPaper,1.102,0.144,0.120,0.048,0.024,0.743,0.335,0.000,7.261,2.133,0.743,0.503,0.479,1.462,0.024,2.157
BIO.G1.06.1,Biology,First Year Graduate,F,NS,Report,0.124,0.248,0.025,0.074,0.000,1.093,0.348,0.000,7.574,1.564,0.621,0.050,0.497,2.036,0.025,2.980
BIO.G1.07.1,Biology,First Year Graduate,M,NNS,Proposal,0.516,0.000,0.000,0.000,0.147,2.950,0.442,0.000,6.121,0.221,1.770,0.000,0.885,2.212,0.221,2.434
BIO.G1.08.1,Biology,First Year Graduate,F,NNS,Report,0.637,0.849,0.000,0.212,0.106,1.168,0.212,0.000,6.688,1.168,0.425,0.955,0.318,3.291,0.000,1.592
BIO.G1.08.2,Biology,First Year Graduate,F,NNS,ResponsePaper,0.116,1.048,0.000,0.116,0.233,0.931,0.582,0.000,11.758,0.698,1.164,0.349,0.349,3.725,0.000,2.328
BIO.G2.01.1,Biology,Second Year Graduate,M,NS,ResearchPaper,0.880,0.242,0.110,0.000,0.198,0.572,0.242,0.000,7.567,1.386,1.408,0.374,0.330,1.936,0.000,1.650
BIO.G2.02.1,Biology,Second Year Graduate,F,NS,Report,0.405,0.125,0.125,0.000,0.125,1.901,0.499,0.000,9.196,1.964,0.561,0.031,0.218,2.899,0.094,1.808
BIO.G2.03.1,Biology,Second Year Graduate,M,NNS,ResearchPaper,0.465,0.100,0.100,0.033,0.033,0.332,0.299,0.033,9.399,1.129,3.520,0.631,0.498,1.860,0.000,1.793
BIO.G2.04.1,Biology,Second Year Graduate,F,NS,ResearchPaper,1.378,0.115,0.057,0.057,0.115,0.287,0.230,0.000,5.913,1.550,1.493,0.574,0.344,1.952,0.000,2.928
BIO.G2.05.1,Biology,Second Year Graduate,M,NNS,Report,0.771,0.551,0.000,0.000,0.000,0.441,0.110,0.000,11.013,1.542,2.313,0.551,0.881,1.652,0.000,1.211
BIO.G2.05.2,Biology,Second Year Graduate,M,NNS,Report,0.152,0.152,0.000,0.152,0.152,1.216,0.304,0.000,10.030,0.760,1.672,0.152,0.456,1.976,0.304,2.128
BIO.G2.06.1,Biology,Second Year Graduate,F,NNS,Proposal,1.271,0.203,0.000,0.203,0.000,1.525,0.203,0.000,11.337,1.169,0.508,0.203,1.423,2.084,0.153,0.966
BIO.G2.07.1,Biology,Second Year Graduate,M,NS,Report,0.354,0.022,0.000,0.000,0.000,1.128,0.464,0.022,6.791,1.084,0.664,0.066,0.442,2.035,0.000,1.239
BIO.G3.01.1,Biology,Third Year Graduate,M,NS,ResearchPaper,0.556,0.111,0.167,0.000,0.167,0.444,0.556,0.000,7.278,1.944,0.889,0.667,0.500,2.389,0.056,2.000
BIO.G3.02.1,Biology,Third Year Graduate,F,NS,Proposal,0.910,0.209,0.066,0.028,0.019,1.166,0.284,0.009,8.544,1.309,0.920,0.066,0.427,1.498,0.104,1.612
BIO.G3.03.1,Biology,Third Year Graduate,F,NS,Essay,0.082,0.246,0.000,0.000,0.082,1.067,0.493,0.000,14.614,1.067,0.164,0.411,1.232,1.970,0.000,1.970
CEE.G0.01.1,Civil and Environmental Engineering,Final Year Undergraduate,M,NS,Report,0.217,0.054,0.000,0.000,0.217,0.814,0.326,0.000,6.786,0.543,1.357,0.434,0.597,1.520,0.000,1.086
CEE.G0.01.2,Civil and Environmental Engineering,Final Year Undergraduate,M,NS,ResearchPaper,0.398,0.000,0.000,0.000,0.057,0.910,0.114,0.000,4.321,0.966,0.853,0.853,0.398,1.364,0.000,1.137
CEE.G0.01.3,Civil and Environmental Engineering,Final Year Undergraduate,M,NS,ResearchPaper,0.732,0.314,0.000,0.000,0.105,0.628,0.418,0.000,5.753,1.046,1.464,1.046,0.837,1.151,0.105,1.046
CEE.G0.02.1,Civil and Environmental Engineering,Final Year Undergraduate,M,NS,Report,1.888,0.246,0.000,0.000,0.000,0.246,0.164,0.000,9.360,0.575,0.739,1.067,0.985,0.985,0.000,2.217
CEE.G0.03.1,Civil and Environmental Engineering,Final Year Undergraduate,M,NS,ResearchPaper,0.592,0.263,0.000,0.000,0.132,1.185,0.329,0.000,4.542,1.185,1.185,0.856,0.461,2.897,0.066,2.304
CEE.G0.04.1,Civil and Environmental Engineering,Final Year Undergraduate,M,NS,ResearchPaper,0.159,0.159,0.000,0.000,0.000,1.037,0.319,0.000,4.466,0.478,1.356,0.239,1.276,0.638,0.159,0.957
CEE.G0.05.1,Civil and Environmental Engineering,Final Year Undergraduate,F,NS,ResearchPaper,0.110,0.329,0.000,0.000,0.329,0.439,0.439,0.000,10.197,0.987,1.316,1.425,1.206,0.658,0.110,0.987
CEE.G0.05.2,Civil and Environmental Engineering,Final Year Undergraduate,F,NS,Report,0.902,0.000,0.000,0.000,0.150,0.301,0.150,0.000,5.263,0.301,2.105,0.150,0.602,0.902,0.000,1.203
CEE.G0.05.3,Civil and Environmental Engineering,Final Year Undergraduate,F,NS,Report,1.406,0.000,0.000,0.000,0.176,0.879,0.000,0.000,5.624,0.176,1.757,0.000,0.527,0.176,0.176,1.230
CEE.G0.06.1,Civil and Environmental Engineering,Final Year Undergraduate,F,NS,ResearchPaper,0.104,0.000,0.000,0.000,0.000,0.519,1.037,0.000,11.826,0.622,1.556,0.726,0.830,1.867,0.000,1.763
CEE.G1.01.1,Civil and Environmental Engineering,First Year Graduate,M,NS,Report,0.560,0.219,0.024,0.000,0.049,0.681,0.316,0.000,10.292,1.533,2.482,0.487,0.706,2.287,0.000,1.703
CEE.G1.02.1,Civil and Environmental Engineering,First Year Graduate,M,NNS,ResearchPaper,0.042,0.168,0.000,0.000,0.084,0.800,0.210,0.042,8.754,0.800,0.673,0.758,0.926,2.020,0.000,2.315
CEE.G1.02.2,Civil and Environmental Engineering,First Year Graduate,M,NNS,Report,0.041,0.365,0.041,0.000,0.081,0.527,0.365,0.000,8.225,0.972,0.527,0.486,0.648,1.742,0.000,1.175
CEE.G1.02.3,Civil and Environmental Engineering,First Year Graduate,M,NNS,Report,1.119,0.000,0.000,0.000,0.000,0.933,0.187,0.000,9.701,1.119,0.000,0.000,0.933,1.119,0.187,2.425
CEE.G1.03.1,Civil and Environmental Engineering,First Year Graduate,F,NS,Report,0.322,0.025,0.000,0.025,0.124,0.594,0.074,0.049,6.754,1.138,1.707,0.272,0.371,1.509,0.000,1.212
CEE.G1.04.1,Civil and Environmental Engineering,First Year Graduate,M,NS,Report,0.482,0.051,0.000,0.000,0.203,0.939,0.178,0.000,8.149,1.092,1.599,0.228,0.330,1.828,0.000,1.498
CEE.G1.05.1,Civil and Environmental Engineering,First Year Graduate,M,NS,Report,0.257,0.128,0.018,0.000,0.275,0.825,0.202,0.000,7.719,0.990,0.678,0.660,0.532,1.595,0.000,1.650
CEE.G1.06.1,Civil and Environmental Engineering,First Year Graduate,M,NS,Report,2.339,0.000,0.000,0.000,0.273,0.851,0.395,0.000,3.615,0.638,0.911,0.122,0.152,2.400,0.000,1.094
CEE.G1.07.1,Civil and Environmental Engineering,First Year Graduate,M,NS,Report,0.589,0.187,0.027,0.000,0.161,0.669,0.348,0.000,7.521,1.392,0.830,0.321,0.642,1.606,0.000,1.927
CEE.G1.07.2,Civil and Environmental Engineering,First Year Graduate,M,NS,Report,0.142,0.379,0.095,0.000,0.142,0.758,0.521,0.000,8.341,0.853,0.190,0.237,0.853,1.991,0.000,2.559
CEE.G1.08.1,Civil and Environmental Engineering,First Year Graduate,M,NNS,Critique,0.590,0.000,0.000,0.000,0.054,2.681,0.375,0.000,7.131,1.126,0.751,0.322,0.268,2.252,0.000,1.716
CEE.G1.09.1,Civil and Environmental Engineering,First Year Graduate,M,NS,Report,0.510,0.081,0.027,0.000,0.134,1.505,0.510,0.000,6.233,0.940,0.537,0.161,0.484,2.606,0.000,1.639
CEE.G1.10.1,Civil and Environmental Engineering,First Year Graduate,M,NS,Report,0.452,0.059,0.059,0.000,0.216,0.471,0.079,0.000,7.362,1.139,0.864,0.412,0.726,1.728,0.000,2.042
CEE.G1.10.2,Civil and Environmental Engineering,First Year Graduate,M,NS,Report,0.457,0.055,0.000,0.000,0.146,0.293,0.183,0.000,8.062,0.932,1.207,0.585,0.823,1.554,0.000,1.627
CEE.G2.01.1,Civil and Environmental Engineering,Second Year Graduate,M,NS,Report,0.442,0.086,0.100,0.029,0.100,1.341,0.485,0.014,6.517,1.426,0.756,0.114,0.542,2.168,0.014,1.369
