text_id,paper_discipline,level_cat,student_gender,speaker_status,paper_type,token,per_mil
BIO.G0.01.1,Biology,G0,F,NS,Report,the,64218.38
BIO.G0.01.1,Biology,G0,F,NS,Report,i,0
BIO.G0.01.1,Biology,G0,F,NS,Report,we,0
BIO.G0.01.1,Biology,G0,F,NS,Report,will,1571.09
BIO.G0.01.1,Biology,G0,F,NS,Report,would,4516.89
BIO.G0.01.1,Biology,G0,F,NS,Report,may,589.16
BIO.G0.01.1,Biology,G0,F,NS,Report,is,13943.44
BIO.G0.01.1,Biology,G0,F,NS,Report,was,4516.89
BIO.G0.01.1,Biology,G0,F,NS,Report,were,3534.96
BIO.G0.01.1,Biology,G0,F,NS,Report,people,2356.64
BIO.G0.02.1,Biology,G0,M,NS,Report,the,61806.07
BIO.G0.02.1,Biology,G0,M,NS,Report,i,0
BIO.G0.02.1,Biology,G0,M,NS,Report,we,1850.48
BIO.G0.02.1,Biology,G0,M,NS,Report,will,4071.06
BIO.G0.02.1,Biology,G0,M,NS,Report,would,370.1
BIO.G0.02.1,Biology,G0,M,NS,Report,may,3330.87
BIO.G0.02.1,Biology,G0,M,NS,Report,is,13693.56
BIO.G0.02.1,Biology,G0,M,NS,Report,was,1850.48
BIO.G0.02.1,Biology,G0,M,NS,Report,were,1110.29
BIO.G0.02.1,Biology,G0,M,NS,Report,people,0
BIO.G0.02.2,Biology,G0,M,NS,Report,the,60565.28
BIO.G0.02.2,Biology,G0,M,NS,Report,i,0
BIO.G0.02.2,Biology,G0,M,NS,Report,we,0
BIO.G0.02.2,Biology,G0,M,NS,Report,will,2691.79
BIO.G0.02.2,Biology,G0,M,NS,Report,would,4037.69
BIO.G0.02.2,Biology,G0,M,NS,Report,may,2691.79
BIO.G0.02.2,Biology,G0,M,NS,Report,is,5383.58
BIO.G0.02.2,Biology,G0,M,NS,Report,was,0
BIO.G0.02.2,Biology,G0,M,NS,Report,were,1345.9
BIO.G0.02.2,Biology,G0,M,NS,Report,people,0
BIO.G0.02.3,Biology,G0,M,NS,Report,the,59440.56
BIO.G0.02.3,Biology,G0,M,NS,Report,i,0
BIO.G0.02.3,Biology,G0,M,NS,Report,we,1748.25
BIO.G0.02.3,Biology,G0,M,NS,Report,will,1748.25
BIO.G0.02.3,Biology,G0,M,NS,Report,would,1748.25
BIO.G0.02.3,Biology,G0,M,NS,Report,may,10489.51
BIO.G0.02.3,Biology,G0,M,NS,Report,is,15734.27
BIO.G0.02.3,Biology,G0,M,NS,Report,was,0
BIO.G0.02.3,Biology,G0,M,NS,Report,were,0
BIO.G0.02.3,Biology,G0,M,NS,Report,people,0
BIO.G0.02.4,Biology,G0,M,NS,Report,the,43478.26
BIO.G0.02.4,Biology,G0,M,NS,Report,i,0
BIO.G0.02.4,Biology,G0,M,NS,Report,we,0
BIO.G0.02.4,Biology,G0,M,NS,Report,will,1552.8
BIO.G0.02.4,Biology,G0,M,NS,Report,would,0
BIO.G0.02.4,Biology,G0,M,NS,Report,may,4658.39
BIO.G0.02.4,Biology,G0,M,NS,Report,is,20186.34
BIO.G0.02.4,Biology,G0,M,NS,Report,was,0
BIO.G0.02.4,Biology,G0,M,NS,Report,were,0
BIO.G0.02.4,Biology,G0,M,NS,Report,people,0
BIO.G0.02.5,Biology,G0,M,NS,Report,the,65626.11
BIO.G0.02.5,Biology,G0,M,NS,Report,i,0
BIO.G0.02.5,Biology,G0,M,NS,Report,we,709.47
BIO.G0.02.5,Biology,G0,M,NS,Report,will,2128.41
BIO.G0.02.5,Biology,G0,M,NS,Report,would,354.74
BIO.G0.02.5,Biology,G0,M,NS,Report,may,1773.68
BIO.G0.02.5,Biology,G0,M,NS,Report,is,8158.92
BIO.G0.02.5,Biology,G0,M,NS,Report,was,2483.15
BIO.G0.02.5,Biology,G0,M,NS,Report,were,709.47
BIO.G0.02.5,Biology,G0,M,NS,Report,people,0
BIO.G0.02.6,Biology,G0,M,NS,ResearchPaper,the,71428.57
BIO.G0.02.6,Biology,G0,M,NS,ResearchPaper,i,1984.13
BIO.G0.02.6,Biology,G0,M,NS,ResearchPaper,we,992.06
BIO.G0.02.6,Biology,G0,M,NS,ResearchPaper,will,496.03
BIO.G0.02.6,Biology,G0,M,NS,ResearchPaper,would,1984.13
BIO.G0.02.6,Biology,G0,M,NS,ResearchPaper,may,0
BIO.G0.02.6,Biology,G0,M,NS,ResearchPaper,is,11408.73
BIO.G0.02.6,Biology,G0,M,NS,ResearchPaper,was,6944.44
BIO.G0.02.6,Biology,G0,M,NS,ResearchPaper,were,31250
BIO.G0.02.6,Biology,G0,M,NS,ResearchPaper,people,0
BIO.G0.03.1,Biology,G0,F,NS,ResearchPaper,the,73636.36
BIO.G0.03.1,Biology,G0,F,NS,ResearchPaper,i,0
BIO.G0.03.1,Biology,G0,F,NS,ResearchPaper,we,10000
BIO.G0.03.1,Biology,G0,F,NS,ResearchPaper,will,3636.36
BIO.G0.03.1,Biology,G0,F,NS,ResearchPaper,would,5454.55
BIO.G0.03.1,Biology,G0,F,NS,ResearchPaper,may,3636.36
BIO.G0.03.1,Biology,G0,F,NS,ResearchPaper,is,25454.55
BIO.G0.03.1,Biology,G0,F,NS,ResearchPaper,was,2727.27
BIO.G0.03.1,Biology,G0,F,NS,ResearchPaper,were,3636.36
BIO.G0.03.1,Biology,G0,F,NS,ResearchPaper,people,0
BIO.G0.03.2,Biology,G0,F,NS,ResearchPaper,the,63594.47
BIO.G0.03.2,Biology,G0,F,NS,ResearchPaper,i,10599.08
BIO.G0.03.2,Biology,G0,F,NS,ResearchPaper,we,0
BIO.G0.03.2,Biology,G0,F,NS,ResearchPaper,will,921.66
BIO.G0.03.2,Biology,G0,F,NS,ResearchPaper,would,6451.61
BIO.G0.03.2,Biology,G0,F,NS,ResearchPaper,may,1843.32
BIO.G0.03.2,Biology,G0,F,NS,ResearchPaper,is,9216.59
BIO.G0.03.2,Biology,G0,F,NS,ResearchPaper,was,8755.76
BIO.G0.03.2,Biology,G0,F,NS,ResearchPaper,were,4608.29
BIO.G0.03.2,Biology,G0,F,NS,ResearchPaper,people,0
BIO.G0.03.3,Biology,G0,F,NS,ResearchPaper,the,77000
BIO.G0.03.3,Biology,G0,F,NS,ResearchPaper,i,9000
BIO.G0.03.3,Biology,G0,F,NS,ResearchPaper,we,1000
BIO.G0.03.3,Biology,G0,F,NS,ResearchPaper,will,0
BIO.G0.03.3,Biology,G0,F,NS,ResearchPaper,would,7000
BIO.G0.03.3,Biology,G0,F,NS,ResearchPaper,may,0
BIO.G0.03.3,Biology,G0,F,NS,ResearchPaper,is,11000
BIO.G0.03.3,Biology,G0,F,NS,ResearchPaper,was,7000
BIO.G0.03.3,Biology,G0,F,NS,ResearchPaper,were,11000
BIO.G0.03.3,Biology,G0,F,NS,ResearchPaper,people,0
BIO.G0.04.1,Biology,G0,F,NS,Report,the,52969.5
BIO.G0.04.1,Biology,G0,F,NS,Report,i,802.57
BIO.G0.04.1,Biology,G0,F,NS,Report,we,0
BIO.G0.04.1,Biology,G0,F,NS,Report,will,802.57
BIO.G0.04.1,Biology,G0,F,NS,Report,would,3210.27
BIO.G0.04.1,Biology,G0,F,NS,Report,may,10433.39
BIO.G0.04.1,Biology,G0,F,NS,Report,is,4815.41
BIO.G0.04.1,Biology,G0,F,NS,Report,was,1605.14
BIO.G0.04.1,Biology,G0,F,NS,Report,were,2407.7
BIO.G0.04.1,Biology,G0,F,NS,Report,people,0
BIO.G0.04.2,Biology,G0,F,NS,ResearchPaper,the,53623.8
BIO.G0.04.2,Biology,G0,F,NS,ResearchPaper,i,1256.81
BIO.G0.04.2,Biology,G0,F,NS,ResearchPaper,we,15500.63
BIO.G0.04.2,Biology,G0,F,NS,ResearchPaper,will,837.87
BIO.G0.04.2,Biology,G0,F,NS,ResearchPaper,would,2932.55
BIO.G0.04.2,Biology,G0,F,NS,ResearchPaper,may,0
BIO.G0.04.2,Biology,G0,F,NS,ResearchPaper,is,12149.14
BIO.G0.04.2,Biology,G0,F,NS,ResearchPaper,was,837.87
BIO.G0.04.2,Biology,G0,F,NS,ResearchPaper,were,7959.78
BIO.G0.04.2,Biology,G0,F,NS,ResearchPaper,people,0
BIO.G0.04.3,Biology,G0,F,NS,ResearchPaper,the,80751.17
BIO.G0.04.3,Biology,G0,F,NS,ResearchPaper,i,0
BIO.G0.04.3,Biology,G0,F,NS,ResearchPaper,we,15023.47
BIO.G0.04.3,Biology,G0,F,NS,ResearchPaper,will,1877.93
BIO.G0.04.3,Biology,G0,F,NS,ResearchPaper,would,1877.93
BIO.G0.04.3,Biology,G0,F,NS,ResearchPaper,may,0
BIO.G0.04.3,Biology,G0,F,NS,ResearchPaper,is,11267.61
BIO.G0.04.3,Biology,G0,F,NS,ResearchPaper,was,4694.84
BIO.G0.04.3,Biology,G0,F,NS,ResearchPaper,were,2816.9
BIO.G0.04.3,Biology,G0,F,NS,ResearchPaper,people,0
BIO.G0.05.1,Biology,G0,F,NS,Report,the,49556.21
BIO.G0.05.1,Biology,G0,F,NS,Report,i,0
BIO.G0.05.1,Biology,G0,F,NS,Report,we,0
BIO.G0.05.1,Biology,G0,F,NS,Report,will,0
BIO.G0.05.1,Biology,G0,F,NS,Report,would,2958.58
BIO.G0.05.1,Biology,G0,F,NS,Report,may,0
BIO.G0.05.1,Biology,G0,F,NS,Report,is,28106.51
BIO.G0.05.1,Biology,G0,F,NS,Report,was,3698.22
BIO.G0.05.1,Biology,G0,F,NS,Report,were,739.64
BIO.G0.05.1,Biology,G0,F,NS,Report,people,0
BIO.G0.06.1,Biology,G0,F,NS,Report,the,62726.18
BIO.G0.06.1,Biology,G0,F,NS,Report,i,0
BIO.G0.06.1,Biology,G0,F,NS,Report,we,0
BIO.G0.06.1,Biology,G0,F,NS,Report,will,5126.66
BIO.G0.06.1,Biology,G0,F,NS,Report,would,2412.55
BIO.G0.06.1,Biology,G0,F,NS,Report,may,11761.16
BIO.G0.06.1,Biology,G0,F,NS,Report,is,19601.93
BIO.G0.06.1,Biology,G0,F,NS,Report,was,2110.98
BIO.G0.06.1,Biology,G0,F,NS,Report,were,3015.68
BIO.G0.06.1,Biology,G0,F,NS,Report,people,301.57
BIO.G0.07.1,Biology,G0,F,NS,Report,the,77809.8
BIO.G0.07.1,Biology,G0,F,NS,Report,i,0
BIO.G0.07.1,Biology,G0,F,NS,Report,we,0
BIO.G0.07.1,Biology,G0,F,NS,Report,will,0
BIO.G0.07.1,Biology,G0,F,NS,Report,would,3842.46
BIO.G0.07.1,Biology,G0,F,NS,Report,may,0
BIO.G0.07.1,Biology,G0,F,NS,Report,is,9606.15
BIO.G0.07.1,Biology,G0,F,NS,Report,was,10566.76
BIO.G0.07.1,Biology,G0,F,NS,Report,were,5763.69
BIO.G0.07.1,Biology,G0,F,NS,Report,people,0
BIO.G0.07.2,Biology,G0,F,NS,ResearchPaper,the,77149.16
BIO.G0.07.2,Biology,G0,F,NS,ResearchPaper,i,0
BIO.G0.07.2,Biology,G0,F,NS,ResearchPaper,we,734.75
BIO.G0.07.2,Biology,G0,F,NS,ResearchPaper,will,0
BIO.G0.07.2,Biology,G0,F,NS,ResearchPaper,would,2939.02
BIO.G0.07.2,Biology,G0,F,NS,ResearchPaper,may,0
BIO.G0.07.2,Biology,G0,F,NS,ResearchPaper,is,19103.6
BIO.G0.07.2,Biology,G0,F,NS,ResearchPaper,was,6612.78
BIO.G0.07.2,Biology,G0,F,NS,ResearchPaper,were,12490.82
BIO.G0.07.2,Biology,G0,F,NS,ResearchPaper,people,0
BIO.G0.07.3,Biology,G0,F,NS,ResearchPaper,the,71428.57
BIO.G0.07.3,Biology,G0,F,NS,ResearchPaper,i,3463.2
BIO.G0.07.3,Biology,G0,F,NS,ResearchPaper,we,0
BIO.G0.07.3,Biology,G0,F,NS,ResearchPaper,will,865.8
BIO.G0.07.3,Biology,G0,F,NS,ResearchPaper,would,3030.3
BIO.G0.07.3,Biology,G0,F,NS,ResearchPaper,may,432.9
BIO.G0.07.3,Biology,G0,F,NS,ResearchPaper,is,11688.31
BIO.G0.07.3,Biology,G0,F,NS,ResearchPaper,was,8658.01
BIO.G0.07.3,Biology,G0,F,NS,ResearchPaper,were,18181.82
BIO.G0.07.3,Biology,G0,F,NS,ResearchPaper,people,0
BIO.G0.08.1,Biology,G0,F,NS,ResearchPaper,the,79884.11
BIO.G0.08.1,Biology,G0,F,NS,ResearchPaper,i,1655.63
BIO.G0.08.1,Biology,G0,F,NS,ResearchPaper,we,0
BIO.G0.08.1,Biology,G0,F,NS,ResearchPaper,will,0
BIO.G0.08.1,Biology,G0,F,NS,ResearchPaper,would,2483.44
BIO.G0.08.1,Biology,G0,F,NS,ResearchPaper,may,1655.63
BIO.G0.08.1,Biology,G0,F,NS,ResearchPaper,is,9933.77
BIO.G0.08.1,Biology,G0,F,NS,ResearchPaper,was,13245.03
BIO.G0.08.1,Biology,G0,F,NS,ResearchPaper,were,11175.5
BIO.G0.08.1,Biology,G0,F,NS,ResearchPaper,people,0
BIO.G0.09.1,Biology,G0,M,NS,Report,the,76428.57
BIO.G0.09.1,Biology,G0,M,NS,Report,i,1428.57
BIO.G0.09.1,Biology,G0,M,NS,Report,we,714.29
BIO.G0.09.1,Biology,G0,M,NS,Report,will,1428.57
BIO.G0.09.1,Biology,G0,M,NS,Report,would,714.29
BIO.G0.09.1,Biology,G0,M,NS,Report,may,714.29
BIO.G0.09.1,Biology,G0,M,NS,Report,is,12142.86
BIO.G0.09.1,Biology,G0,M,NS,Report,was,7857.14
BIO.G0.09.1,Biology,G0,M,NS,Report,were,2857.14
BIO.G0.09.1,Biology,G0,M,NS,Report,people,0
BIO.G0.10.1,Biology,G0,F,NS,ResearchPaper,the,96557.51
BIO.G0.10.1,Biology,G0,F,NS,ResearchPaper,i,0
BIO.G0.10.1,Biology,G0,F,NS,ResearchPaper,we,23509.66
BIO.G0.10.1,Biology,G0,F,NS,ResearchPaper,will,0
BIO.G0.10.1,Biology,G0,F,NS,ResearchPaper,would,1679.26
BIO.G0.10.1,Biology,G0,F,NS,ResearchPaper,may,0
BIO.G0.10.1,Biology,G0,F,NS,ResearchPaper,is,15113.35
BIO.G0.10.1,Biology,G0,F,NS,ResearchPaper,was,5037.78
BIO.G0.10.1,Biology,G0,F,NS,ResearchPaper,were,6717.04
BIO.G0.10.1,Biology,G0,F,NS,ResearchPaper,people,0
BIO.G0.10.2,Biology,G0,F,NS,ResearchPaper,the,84990.96
