text_id,paper_discipline,level_cat,student_gender,speaker_status,paper_type,the,of,and,to,in,a,is,that,for,this,be,as,are,with,it,on,not,by,was,from,an,have,their,or,which,i,they,his,can,will,we,were,at,these,more,but,he,would,has,one,also,all,there,her,between,when,if,may,only,about
BIO.G0.01.1,Biology,G0,F,NS,Report,64218.38,29850.75,36527.89,22584.45,33385.7,14925.37,13943.44,8641.01,5302.44,8248.23,6284.37,5302.44,11979.58,6873.53,8248.23,4713.28,4124.12,5302.44,4516.89,4909.66,3142.18,4320.5,2945.8,3142.18,2356.64,0,3534.96,0,4320.5,1571.09,0,3534.96,1178.32,4516.89,5106.05,2553.02,0,4516.89,4516.89,785.55,4320.5,3142.18,2356.64,0,981.93,1963.86,1767.48,589.16,2160.25,1374.71
BIO.G0.02.1,Biology,G0,M,NS,Report,61806.07,37379.72,22205.77,20355.29,18874.91,19245,13693.56,15544.04,4441.15,15544.04,4441.15,2220.58,3700.96,5551.44,5551.44,6291.64,2960.77,9992.6,1850.48,1110.29,2220.58,7401.92,11102.89,2220.58,2220.58,0,5181.35,1850.48,3330.87,4071.06,1850.48,1110.29,740.19,6291.64,740.19,740.19,0,370.1,4811.25,1110.29,1480.38,1110.29,740.19,0,1850.48,1480.38,370.1,3330.87,2960.77,370.1
BIO.G0.02.2,Biology,G0,M,NS,Report,60565.28,33647.38,26917.9,24226.11,13458.95,13458.95,5383.58,18842.53,9421.27,5383.58,6729.48,6729.48,5383.58,0,5383.58,4037.69,4037.69,5383.58,0,0,1345.9,2691.79,6729.48,8075.37,1345.9,0,1345.9,0,4037.69,2691.79,0,1345.9,0,6729.48,1345.9,1345.9,0,4037.69,0,1345.9,1345.9,0,0,0,0,0,5383.58,2691.79,0,0
BIO.G0.02.3,Biology,G0,M,NS,Report,59440.56,52447.55,29720.28,10489.51,19230.77,12237.76,15734.27,17482.52,8741.26,8741.26,3496.5,6993.01,10489.51,3496.5,5244.76,6993.01,0,3496.5,0,5244.76,3496.5,3496.5,8741.26,5244.76,3496.5,0,12237.76,0,0,1748.25,1748.25,0,1748.25,22727.27,5244.76,0,0,1748.25,1748.25,3496.5,1748.25,0,0,0,3496.5,5244.76,0,10489.51,0,6993.01
BIO.G0.02.4,Biology,G0,M,NS,Report,43478.26,37267.08,7763.98,24844.72,21739.13,21739.13,20186.34,13975.16,3105.59,13975.16,6211.18,4658.39,0,1552.8,6211.18,3105.59,7763.98,6211.18,0,4658.39,4658.39,1552.8,1552.8,12422.36,9316.77,0,1552.8,0,7763.98,1552.8,0,0,0,15527.95,10869.57,1552.8,0,0,4658.39,3105.59,0,0,1552.8,3105.59,3105.59,1552.8,3105.59,4658.39,1552.8,0
BIO.G0.02.5,Biology,G0,M,NS,Report,65626.11,37956.72,27669.39,18091.52,16317.84,20219.94,8158.92,12770.49,5321.04,10642.07,4256.83,1418.94,5321.04,9223.13,1418.94,4611.56,5675.77,4256.83,2483.15,8158.92,3192.62,5675.77,3547.36,1418.94,1773.68,0,3902.09,1773.68,1064.21,2128.41,709.47,709.47,1773.68,3902.09,4966.3,2837.89,1418.94,354.74,3192.62,2128.41,1418.94,4611.56,1418.94,0,4256.83,0,354.74,1773.68,1773.68,354.74
BIO.G0.02.6,Biology,G0,M,NS,ResearchPaper,71428.57,21825.4,36706.35,13888.89,12896.83,21825.4,11408.73,3968.25,9424.6,2480.16,4960.32,4464.29,9424.6,13392.86,3472.22,9920.63,5456.35,3472.22,6944.44,5456.35,1984.13,496.03,992.06,2976.19,1488.1,1984.13,2480.16,0,3472.22,496.03,992.06,31250,1488.1,9424.6,992.06,496.03,0,1984.13,0,1984.13,1984.13,10912.7,1984.13,0,2976.19,1488.1,4464.29,0,1488.1,1488.1
BIO.G0.03.1,Biology,G0,F,NS,ResearchPaper,73636.36,30000,19090.91,29090.91,20909.09,25454.55,25454.55,22727.27,11818.18,9090.91,6363.64,909.09,10909.09,12727.27,15454.55,909.09,7272.73,8181.82,2727.27,4545.45,3636.36,9090.91,1818.18,3636.36,13636.36,0,909.09,0,909.09,3636.36,10000,3636.36,7272.73,909.09,5454.55,0,0,5454.55,3636.36,5454.55,1818.18,909.09,4545.45,0,3636.36,909.09,2727.27,3636.36,1818.18,0
BIO.G0.03.2,Biology,G0,F,NS,ResearchPaper,63594.47,43317.97,27649.77,24884.79,16589.86,19354.84,9216.59,11059.91,11981.57,6451.61,4147.47,7373.27,9216.59,4147.47,5990.78,8294.93,8294.93,5529.95,8755.76,4147.47,5990.78,7834.1,3225.81,921.66,3686.64,10599.08,2304.15,0,921.66,921.66,0,4608.29,4608.29,1382.49,4147.47,3686.64,0,6451.61,1382.49,1843.32,2764.98,1382.49,3686.64,0,5069.12,0,1382.49,1843.32,1843.32,460.83
BIO.G0.03.3,Biology,G0,F,NS,ResearchPaper,77000,43000,18000,24000,27000,31000,11000,16000,8000,8000,7000,11000,3000,8000,6000,4000,7000,6000,7000,9000,8000,6000,5000,6000,7000,9000,6000,0,1000,0,1000,11000,2000,2000,6000,5000,0,7000,2000,2000,0,6000,1000,0,3000,1000,1000,0,4000,1000
BIO.G0.04.1,Biology,G0,F,NS,Report,52969.5,28089.89,42536.12,21669.34,34510.43,9630.82,4815.41,11235.96,4815.41,9630.82,7223.11,4815.41,3210.27,6420.55,2407.7,3210.27,4815.41,4012.84,1605.14,3210.27,4815.41,4012.84,0,2407.7,2407.7,802.57,802.57,0,4012.84,802.57,0,2407.7,3210.27,4815.41,3210.27,3210.27,0,3210.27,3210.27,1605.14,7223.11,0,0,0,1605.14,802.57,1605.14,10433.39,1605.14,0
BIO.G0.04.2,Biology,G0,F,NS,ResearchPaper,53623.8,21365.73,48596.56,11311.27,10473.4,30163.39,12149.14,11311.27,12568.08,4189.36,837.87,5865.1,13405.95,12987.01,2094.68,10054.46,6284.04,2094.68,837.87,7959.78,2094.68,5446.17,1256.81,4189.36,2094.68,1256.81,3351.49,0,1675.74,837.87,15500.63,7959.78,418.94,2932.55,3351.49,2094.68,0,2932.55,1675.74,4189.36,837.87,6284.04,418.94,0,5027.23,837.87,2932.55,0,1675.74,0
BIO.G0.04.3,Biology,G0,F,NS,ResearchPaper,80751.17,21596.24,47887.32,19718.31,7511.74,9389.67,11267.61,13145.54,17840.38,7511.74,7511.74,938.97,11267.61,9389.67,1877.93,22535.21,10328.64,6572.77,4694.84,4694.84,938.97,2816.9,0,5633.8,938.97,0,4694.84,0,7511.74,1877.93,15023.47,2816.9,938.97,5633.8,2816.9,3755.87,0,1877.93,938.97,0,0,0,0,0,8450.7,938.97,2816.9,0,1877.93,0
BIO.G0.05.1,Biology,G0,F,NS,Report,49556.21,37721.89,28106.51,11834.32,22928.99,13313.61,28106.51,10355.03,10355.03,3698.22,7396.45,11094.67,4437.87,13313.61,13313.61,4437.87,739.64,7396.45,3698.22,2958.58,9615.38,2218.93,0,1479.29,1479.29,0,0,0,5177.51,0,0,739.64,5177.51,1479.29,739.64,0,0,2958.58,5177.51,0,5917.16,0,0,0,739.64,2958.58,0,0,0,0
BIO.G0.06.1,Biology,G0,F,NS,Report,62726.18,25030.16,27442.7,21411.34,18094.09,19601.93,19601.93,13269,6936.07,2110.98,15379.98,2412.55,10253.32,13570.57,6031.36,3618.82,9348.61,6936.07,2110.98,1507.84,3317.25,5729.79,4825.09,4825.09,4825.09,0,3317.25,904.7,4523.52,5126.66,0,3015.68,2412.55,2110.98,4825.09,2110.98,301.57,2412.55,1206.27,1206.27,3618.82,603.14,2110.98,3317.25,3920.39,904.7,5126.66,11761.16,2412.55,904.7
BIO.G0.07.1,Biology,G0,F,NS,Report,77809.8,22094.14,34582.13,12487.99,18251.68,17291.07,9606.15,16330.45,7684.92,10566.76,5763.69,960.61,9606.15,3842.46,4803.07,12487.99,7684.92,2881.84,10566.76,960.61,0,2881.84,960.61,6724.3,6724.3,0,2881.84,960.61,1921.23,0,0,5763.69,10566.76,1921.23,0,2881.84,0,3842.46,1921.23,1921.23,4803.07,960.61,960.61,0,3842.46,1921.23,6724.3,0,1921.23,1921.23
BIO.G0.07.2,Biology,G0,F,NS,ResearchPaper,77149.16,30124.91,39676.71,15429.83,14695.08,6612.78,19103.6,13225.57,5878.03,5878.03,5878.03,4408.52,13225.57,5878.03,3673.77,14695.08,3673.77,3673.77,6612.78,3673.77,4408.52,2204.26,2204.26,2939.02,734.75,0,2204.26,0,3673.77,0,734.75,12490.82,734.75,6612.78,3673.77,2204.26,0,2939.02,4408.52,2939.02,5878.03,2204.26,4408.52,0,0,1469.51,734.75,0,2204.26,0
BIO.G0.07.3,Biology,G0,F,NS,ResearchPaper,71428.57,28138.53,41991.34,17316.02,19047.62,19480.52,11688.31,13419.91,13852.81,10389.61,7359.31,1731.6,12554.11,5627.71,865.8,6926.41,3463.2,1731.6,8658.01,7359.31,865.8,4329,432.9,3896.1,5627.71,3463.2,3030.3,0,432.9,865.8,0,18181.82,1298.7,3896.1,1731.6,1298.7,0,3030.3,1298.7,2597.4,865.8,4761.9,1298.7,0,5194.81,0,3030.3,432.9,4329,865.8
